"","symbol","EntrezGene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000024621","Csf1r","12978",10790.0773604784,0.912824645730262,0.0467077949432708,19.54330421376,4.70364498446373e-85,2.82983041377799e-82
"ENSMUSG00000036887","C1qa","12259",6435.68740687844,1.80471917988721,0.0930129387208888,19.4028831333108,7.29623905540726e-84,4.2825364114238e-81
"ENSMUSG00000024300","Myo1f","17916",649.316278104353,1.71511245431177,0.09028211107114,18.9972568647659,1.79694024527984e-80,1.02960397625379e-77
"ENSMUSG00000025232","Hexa","15211",5187.41232079623,0.855884567973911,0.0461110787229584,18.5613651139281,6.60059171646756e-77,3.69402882922771e-74
"ENSMUSG00000000682","Cd52","23833",258.842220300132,2.5601850014185,0.138258660897511,18.5173571391402,1.49602873490349e-76,8.18225716033012e-74
"ENSMUSG00000034708","Grn","14824",6963.96926465532,0.964298567722676,0.0524621212478833,18.3808535527256,1.87002939334078e-75,1.00005016334991e-72
"ENSMUSG00000058715","Fcer1g","14127",862.45535808636,1.68476696720343,0.0935220454921502,18.014650538678,1.4952224095554e-72,7.82228854042406e-70
"ENSMUSG00000040747","Cd53","12508",801.15443047328,1.4251314007682,0.0792281717993056,17.987685041859,2.43311974013596e-72,1.24580907545472e-69
"ENSMUSG00000015568","Lpl","16956",2243.98429795896,1.14618106415872,0.0637297563443901,17.9850219097788,2.55287831875058e-72,1.2798961820986e-69
"ENSMUSG00000038147","Cd84","12523",730.644328571904,1.86252995431058,0.104451170670535,17.8315852503506,4.01863381905639e-71,1.97364128276718e-68
"ENSMUSG00000027995","Tlr2","24088",386.874575636085,1.95555585473853,0.109864975919557,17.7996293939061,7.1138071233311e-71,3.42387536845926e-68
"ENSMUSG00000030342","Cd9","12527",4313.78086811406,1.12325293544773,0.0631449463066027,17.7884850830933,8.67948733731137e-71,4.09552672102741e-68
"ENSMUSG00000112148","Lilrb4a","14728",171.611593809762,3.48190809492092,0.196918763178206,17.6819518806844,5.77614370153155e-70,2.67313265725686e-67
"ENSMUSG00000027848","Olfml3","99543",2340.58736786778,1.27794937371646,0.0722926458491456,17.6774464221877,6.25664853515208e-70,2.84087258487613e-67
"ENSMUSG00000030124","Lag3","16768",1081.47327810806,1.7998640553802,0.102412538015231,17.5746455488929,3.85290680963e-69,1.717040784699e-66
"ENSMUSG00000018008","Cyth4","72318",1452.51735255093,1.09451096052316,0.0629694428124998,17.3816205390639,1.13694774611738e-67,4.9746631836936e-65
"ENSMUSG00000037686","Aspg","104816",685.224970311032,1.36311017327549,0.0791736375709576,17.2167177749516,1.98955856076637e-66,8.54977263657906e-64
"ENSMUSG00000060802","B2m","12010",10150.7642770832,1.08985130083692,0.0637109106422074,17.1061956241278,1.33435222340451e-65,5.6335414484613e-63
"ENSMUSG00000020143","Dock2","94176",794.819055582382,1.22921773712425,0.0720350014350318,17.0641731468955,2.74244740866533e-65,1.13787925671606e-62
"ENSMUSG00000030798","Cd37","12493",638.937475264744,1.56661542750619,0.092348531616424,16.964161747728,1.51242534255326e-64,6.16890099466849e-62
"ENSMUSG00000029919","Hpgds","54486",1186.2745725615,1.06824962737062,0.0630561289053846,16.9412497391574,2.23329342517934e-64,8.95736771282346e-62
"ENSMUSG00000029484","Anxa3","11745",1345.06909487156,0.918814880134004,0.0549490646068627,16.7212105739695,9.18346739805554e-63,3.62295316285584e-60
"ENSMUSG00000006519","Cyba","13057",563.152844644675,1.42059247162529,0.0855828987749382,16.5990226080223,7.08349750089256e-62,2.74942527998354e-59
"ENSMUSG00000018927","Ccl6","20305",501.562453773189,3.54270039442132,0.214686195745335,16.5017614761954,3.56344256039554e-61,1.36117849549077e-58
"ENSMUSG00000030560","Ctsc","13032",1199.23583512247,0.896299180511457,0.0549287779822647,16.3174789870776,7.41345074037745e-60,2.78757331354974e-57
